timestamp,hashed_mac,student_id,student_name,status
2025-m-04 14:41:29,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:41:34,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:41:39,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:41:44,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:41:49,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:41:55,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:42:00,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:42:05,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:42:10,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:42:15,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:42:20,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:42:25,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:42:31,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:42:36,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:42:41,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:42:46,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:42:51,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:42:57,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:43:02,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:43:07,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:43:12,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:43:17,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:43:22,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:43:27,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:43:33,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:43:38,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:43:43,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:43:48,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:43:53,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:43:58,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:44:03,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:44:08,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:44:14,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:44:19,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:44:24,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:44:29,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:44:34,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:44:39,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:44:44,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:44:49,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:44:55,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:45:00,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:45:05,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:45:10,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:45:15,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:45:21,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:45:26,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:45:31,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:45:36,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:45:41,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:45:46,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:45:51,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:45:56,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:46:02,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:46:07,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:46:12,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:46:17,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:46:22,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:46:27,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:46:32,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:46:38,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:46:43,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:46:48,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:46:53,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:46:58,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:47:03,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:47:09,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:47:15,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
2025-m-04 14:47:20,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,PRESENT
2025-m-04 14:47:25,df61ea1e163464e038a5c494d616600279e639105dc77408a7f3cab4747eeab0,S1001,Alice Johnson,ABSENT
